实体名,谷歌,百度,有道
"    ""Harrier Gr.1 - 1969"",","Harrier Gr.1 - 1969,","    ""Harrier Gr.1-1969"",","鹞Gr.1?-?1969,   "
"    ""Harrier T.4 - 1977"",","鹞T.4 - 1977,","    ""哈里尔T.4-1977"",","鹞T.4?-?1977,   "
"    ""Harrier T.4A - 1977"",","鹞T.4A - 1977,","    ""哈里尔T.4A-1977"",","鹞T.4A?-?1977,   "
"    ""Harrier T.4N - 1979"",","鹞T.4N - 1979,","    ""哈里尔T.4N-1979"",","鹞T.4N?-?1979,   "
"    ""Hartland Point [Point Class, RO/RO 2700] - 2002"",","哈特兰角 [Point Class, RO/RO 2700] - 2002,","    ""哈特兰角点类，RO/RO 2700-2002"",","哈特兰点数[点数级，RO/RO?2700]?-?2002,   "
"    ""Harvard II [BC-1A] - 1949, 6x + 12x from South Africa"",","Harvard II [BC-1A] - 1949，来自南非的 6x + 12x,","    ""哈佛II BC-1A-1949，南非6x+12x"",","哈佛二世[BC-1A]?-?1949,?6x?+?12x来自南非,   "
"    ""Hastings C Mk.2 - 1952"",","黑斯廷斯 C Mk.2 - 1952,","    ""黑斯廷斯C Mk.2-1952"",","黑斯廷斯C?Mk.2?-?1952,   "
"    ""Hat Box"",","帽盒,","    ""帽盒"",","帽子盒,   "
"    ""Hatf 1 [Conventional] (1993)"",","Hatf 1 [Conventional] (1993),","    ""Hatf 1常规（1993年）"",","传统(1993年),   "
"    ""Hatf 1A [Conventional] (1996)"",","Hatf 1A [传统] (1996),","    ""Hatf 1A常规（1996年）"",","Hatf?1A[常规](1996),   "
"    ""Hatf 1B [Conventional] (2006)"",","Hatf 1B [传统] (2006),","    ""Hatf 1B常规（2006年）"",","Hatf?1B[传统](2006),   "
"    ""Hatf 2 RV [Conventional] "",","Hatf 2 RV [传统],","    ""Hatf 2 RV常规"",","hatf2房车[传统],   "
"    ""Hatf 2 [Conventional] (2007)"",","Hatf 2 [Conventional] (2007),","    ""Hatf 2常规（2007年）"",","Hatf?2[常规](2007),   "
"    ""Hatf 4 RV [Conventional] "",","Hatf 4 RV [传统],","    ""Hatf 4 RV常规"",","Hatf?4房车[传统],   "
"    ""Hatf 4 [150kT Nuclear, Shaheen 1] (2004)"",","Hatf 4 [150kT 核，Shaheen 1] (2004),","    ""Hatf 4 150kT核电，沙欣1号（2004年）"",","Hatf?4?[150kT核，Shaheen?1](2004),   "
"    ""Hatf 4 [150kT Nuclear, Shaheen 1] RV "",","Hatf 4 [150kT 核，Shaheen 1] RV,","    ""Hatf 4 150kT核电，Shaheen 1 RV"",","Hatf?4?[150kT核，Shaheen?1]房车,   "
"    ""Hatf 4 [Conventional, Shaheen 1] (2004)"",","Hatf 4 [Conventional, Shaheen 1] (2004),","    ""Hatf 4常规，Shaheen 1（2004年）"",","传统，夏新1(2004),   "
"    ""Hatf 5 RV [Ghauri-I, Conventional] "",","Hatf 5 RV [Ghauri-I，常规],","    ""Hatf 5 RV Ghauri-I，常规型"",","Hatf?5房车[gouri?-?i-?Conventional],   "
"    ""Hatf 5 [Ghauri-I, Conventional] "",","Hatf 5 [Ghauri-I，常规],","    ""Hatf 5 Ghauri-I，常规型"",","Hatf?5?[ghauri,?i-?i,?Conventional]?,   "
"    ""Hatf 6 RV [Conventional] "",","Hatf 6 RV [传统],","    ""Hatf 6 RV常规"",","Hatf?6房车[传统],   "
"    ""Hatf 6 [150kT Nuclear, Shaheen 2] (2009)"",","Hatf 6 [150kT 核，Shaheen 2] (2009),","    ""Hatf 6 150kT核电，沙欣2号（2009年）"",","Hatf?6?[150kT核，Shaheen?2](2009),   "
"    ""Hatf 6 [150kT Nuclear, Shaheen 2] RV "",","Hatf 6 [150kT 核，Shaheen 2] RV,","    ""Hatf 6 150kT核电，Shaheen 2 RV"",","Hatf?6?[150kT核，Shaheen?2]房车,   "
"    ""Hatf 6 [Conventional, Shaheen 2] (2009)"",","Hatf 6 [Conventional, Shaheen 2] (2009),","    ""Hatf 6常规，Shaheen 2（2009年）"",","哈夫6[传统，夏新2](2009),   "
"    ""Hatf 7 [150kT Nuclear, Babur] (Pakistan, 2006, Cruise Missile)"",","Hatf 7 [150kT 核，巴布尔]（巴基斯坦，2006 年，巡航导弹）,","    ""Hatf 7 150kT核动力，巴布尔（巴基斯坦，2006年，巡航导弹）"",","哈夫7?[150kT核，巴布尔](巴基斯坦，2006年，巡航导弹),   "
"    ""Hatf 7 [700kg HE Conventional, Babur] (Pakistan, 2006, Cruise Missile)"",","Hatf 7 [700kg HE 常规型，巴布尔型]（巴基斯坦，2006 年，巡航导弹）,","    ""Hatf 7 700公斤HE常规导弹，巴布尔（巴基斯坦，2006年，巡航导弹）"",","哈夫7[700公斤常规HE，巴布尔](巴基斯坦，2006年，巡航导弹),   "
"    ""Have Raider UCAV - 2025, Loyal Wingman prototype"",","拥有 Raider UCAV - 2025，忠诚僚机原型,","    ""拥有袭击者UCAV-2025，忠诚的僚机原型"",","有Raider?UCAV?-?2025，忠诚僚机原型机,   "
"    ""Hawk 108 - 1995"",","鹰 108 - 1995,","    ""鹰108-1995"",","霍克108?-?1995,   "
"    ""Hawk 109 - 1996, 8x"",","鹰 109 - 1996 年，8x,","    ""霍克109-1996，8x"",","霍克109?-?1996,8x,   "
"    ""Hawk 120 LIFT - 2006"",","Hawk 120 LIFT - 2006,","    ""鹰120升降机-2006"",","Hawk?120?LIFT?-?2006,   "
"    ""Hawk 127 LIFT - 2000"",","Hawk 127 LIFT - 2000,","    ""鹰127升降机-2000"",","Hawk?127?LIFT?-?2000,   "
"    ""Hawk 129 LIFT - 2007, 6x"",","Hawk 129 LIFT - 2007, 6x,","    ""鹰129升降机-2007，6x"",","Hawk?129?LIFT?-?2007,?6x,   "
"    ""Hawk 208 - 1995"",","鹰 208 - 1995,","    ""鹰208-1995"",","霍克208?-?1995,   "
"    ""Hawk 209 - 1996, 32x"",","鹰 209 - 1996 年，32 倍,","    ""霍克209-1996，32x"",","Hawk?209?-?1996,?32x,   "
"    ""Hawk 51 - 1981, 50x"",","鹰 51 - 1981 年，50 倍,","    ""霍克51-1981，50倍"",","霍克51?-?1981,50x,   "
"    ""Hawk 51 - 1987, 48x"",","老鹰 51 - 1987 年，48 倍,","    ""霍克51-1987，48x"",","霍克51?-?1987,48x,   "
"    ""Hawk 51 - 1997, 45x"",","老鹰 51 - 1997 年，45 倍,","    ""霍克51-1997，45x"",","鹰51?-?1997,45x,   "
"    ""Hawk 51A - 1995, 7x"",","鹰 51A - 1995，7x,","    ""鹰51A-1995，7x"",","鹰51A?-?1995,?7x,   "
"    ""Hawk 52 - 1981, 12x"",","鹰 52 - 1981，12x,","    ""霍克52-1981，12x"",","霍克52?-?1981,12x,   "
"    ""Hawk 53 - 1982"",","老鹰 53 - 1982,","    ""霍克53-1982"",","霍克53?-?1982,   "
"    ""Hawk 60 - 1982"",","老鹰 60 - 1982,","    ""霍克60-1982"",","霍克60?-?1982,   "
"    ""Hawk 60A - 1992"",","鹰 60A - 1992,","    ""鹰60A-1992"",","霍克60A?-?1992,   "
"    ""Hawk 66 - 2013, 18x, Ex-Switzerland"",","Hawk 66 - 2013，18x，前瑞士,","    ""Hawk 66-2013，18倍，瑞士境外"",","霍克66?-?2013,18x，前瑞士,   "
"    ""Hawk Screech [Yakor] (GFCR, 45mm, 57mm, 76mm, 100mm)"",","Hawk Screech [Yakor] (GFCR, 45mm, 57mm, 76mm, 100mm),","    ""鹰叫声亚科（GFCR，45毫米，57毫米，76毫米，100毫米）"",","鹰鸣[雅克尔](GFCR,?45mm,?57mm,?76mm,?100mm),   "
"    ""Hawk T.1 - 1977"",","鹰 T.1 - 1977,","    ""霍克T.1-1977"",","Hawk?T.1?-?1977,   "
"    ""Hawk T.1A - 1985, Air Intercept Mod"",","Hawk T.1A - 1985，空中拦截模组,","    ""霍克T.1A-1985，空中拦截国防部"",","鹰T.1A?-?1985空截Mod,   "
"    ""Hawk T.2 - 2012, Hawk 128"",","Hawk T.2 - 2012，Hawk 128,","    ""霍克T.2-2012，霍克128"",","霍克T.2?-?2012，霍克128,   "
"    ""Hawk T.2 - 2020, 9x, Hawk 128"",","Hawk T.2 - 2020，9x，Hawk 128,","    ""霍克T.2-2020，9x，霍克128"",","霍克T.2?-?2020,?9x，霍克128,   "
"    ""Hawker Hurricane Mk I - 1940"",","小贩飓风 Mk I - 1940,","    ""小贩飓风Mk I-1940"",","小贩飓风Mk?I?-?1940,   "
"    ""He 111H-1 - 1953, CASA"",","He 111H-1 - 1953, CASA,","    ""他111H-1-1953，卡萨"",","He?111H-1?-?1953,?CASA,   "
"    ""Head Lights A [4R60 Grom] (SA-N-3)"",","头灯 A [4R60 Grom] (SA-N-3),","    ""前照灯A 4R60密封圈（SA-N-3）"",","前灯A?[4R60?Grom]?(SA-N-3),   "
"    ""Head Lights B [4R60 Grom] (SA-N-3, SS-N-14)"",","头灯 B [4R60 Grom] (SA-N-3, SS-N-14),","    ""前照灯B 4R60密封圈（SA-N-3，SS-N-14）"",","前大灯B?[4R60?Grom]?(SA-N-3,?SS-N-14),   "
"    ""Head Lights C (SA-N-3)"",","头灯 C (SA-N-3),","    ""头灯C（SA-N-3）"",","前灯C?(SA-N-3),   "
"    ""Head Net A [MR-300 Angara]"",","头网A [MR-300 安加拉],","    ""头网A MR-300安加拉"",","Head?Net?A?[MR-300?Angara],   "
"    ""Head Net B (Back-to-Back, Retired 1980)"",","头网 B（背靠背，1980 年退役）,","    ""净水头B（背靠背，1980年退役）"",","Head?Net?B(背靠背，1980年退役),   "
"    ""Head Net C [MR-310U Angara-M] (Back-to-Back)"",","头网 C [MR-310U Angara-M] (背靠背),","    ""头部净空C MR-310U安加拉-M（背对背）"",","Head?Net?C?[MR-310U?Angara-M](背靠背),   "
"    ""Heart Ache [SPN-1/2/3]"",","心痛 [SPN-1/2/3],","    ""心痛SPN-1/2/3"",","心痛(SPN-1/2/3),   "
"    ""Heart Ache [SPN-4]"",","心痛 [SPN-4],","    ""心痛SPN-4"",","心痛(SPN-4),   "
"    ""Heatrap Flare (115mm, Israel)"",","Heatrap Flare (115mm, Israel),","    ""Heatrap火炬（115毫米，以色列）"",","Heatrap?Flare?(115mm，以色列),   "
"    ""Hegu - 1976"",","合谷-1976,","    ""合谷-1976"",","风-?1976,   "
"    ""Heinkel He 111 H-1 - 0"",","亨克尔 He 111 H-1 - 0,","    ""海因克尔He 111 H-1-0"",","Heinkel?He?111?H-1?-?0,   "
"    ""Hen Egg (Trial ABM System, System A, RTN Tracking Radar)"",","Hen Egg（试用ABM系统，系统A，RTN跟踪雷达）,","    ""鸡蛋（试验ABM系统、系统A、RTN跟踪雷达）"",","鸡蛋(试验ABM系统，A系统，RTN跟踪雷达),   "
"    ""Hen House [Daugava]"",","鸡舍 [道加瓦],","    ""多加瓦鸡舍酒店"",","鸡舍道加瓦河,   "
"    ""Hen House [Dnepr]"",","鸡舍[第聂伯],","    ""第聂伯鸡舍"",","鸡舍(第聂伯),   "
"    ""Hen House [Dnestr-M] (Upgraded to Dnepr by 1980)"",","鸡舍 [Dnestr-M]（1980 年升级为第聂伯）,","    ""鸡舍Dnestr-M（1980年升级为Dnepr）"",","母鸡之家[Dnestr-M](1980年升级为第聂伯),   "
"    ""Hen House [Dnestr]"",","鸡舍 [Dnestr],","    ""德内斯特鸡舍酒店"",","鸡舍Dnestr,   "
"    ""Hen Nest (Trial ABM System, System A,RSV-PR Missile Acquisition Radar)"",","Hen Nest（试验ABM系统，系统A，RSV-PR导弹捕获雷达）,","    ""Hen Nest（试验ABM系统、系统A、RSV-PR导弹捕获雷达）"",","鸟巢(试验ABM系统，A系统，RSV-PR导弹捕获雷达),   "
"    ""Hen Roost (Dunai-2, Trial ABM System, System A, Early Warning)"",","Hen Roost (Dunai-2, Trial ABM System, System A, Early Warning),","    ""鸡窝（Dunai-2，试验反导系统，系统A，预警）"",","母鸡窝(杜奈2号，试验ABM系统，A系统，预警),   "
"    ""Herakles 3D"",","赫拉克勒斯3D,","    ""赫拉克勒斯3D"",","赫拉克勒斯3?d,   "
"    ""Herakles 3D (Alsace, Extended Range)"",","赫拉克勒斯 3D（阿尔萨斯，扩展范围）,","    ""赫拉克勒斯3D（阿尔萨斯，扩展范围）"",","赫拉克勒斯3D(阿尔萨斯，扩展范围),   "
"    ""Hercules C.1 [C-130K] - 1968"",","大力神 C.1 [C-130K] - 1968,","    ""赫拉克勒斯C.1c-130K-1968"",","大力神C.1?[C-130K]?-?1968,   "
"    ""Hercules C.1K [C-130K] - 1982"",","大力神 C.1K [C-130K] - 1982,","    ""赫拉克勒斯C.1K C-130K-1982"",","大力神C.1K?[C-130K]?-?1982,   "
"    ""Hercules C.1K [C-130K] - 2012, 1x"",","大力神 C.1K [C-130K] - 2012，1x,","    ""赫拉克勒斯C.1K C-130K-2012，1x"",","大力神C.1K?[C-130K]?-?2012,?1倍,   "
"    ""Hercules C.1P [C-130K] - 1982"",","大力神 C.1P [C-130K] - 1982,","    ""赫拉克勒斯C.1P C-130K-1982"",","大力神C.1P?[C-130K]?-?1982,   "
"    ""Hercules C.1P [C-130K] - 1988"",","大力神 C.1P [C-130K] - 1988,","    ""大力士C.1P C-130K-1988"",","大力士C.1P?[C-130K]?-?1988,   "
"    ""Hercules C.1P [C-130K] - 1995"",","大力神 C.1P [C-130K] - 1995,","    ""赫拉克勒斯C.1P C-130K-1995"",","大力神C.1P?[C-130K]?-?1995,   "
"    ""Hercules C.3 [C-130K] - 1981, Stretched"",","大力神 C.3 [C-130K] - 1981，拉伸,","    ""赫拉克勒斯C.3 C-130K-1981，拉伸"",","大力神C.3?[C-130K]?-?1981年，伸展,   "
"    ""Hercules C.3 [C-130K] - 2010, 1x"",","大力神 C.3 [C-130K] - 2010，1x,","    ""大力士C.3 C-130K-2010，1x"",","大力神C.3?[C-130K]?-?2010,?1x,   "
"    ""Hercules C.3P [C-130K] - 1986, Stretched"",","大力神 C.3P [C-130K] - 1986，拉伸,","    ""大力士C.3P C-130K-1986，拉伸"",","大力神C.3P?[C-130K]?-?1986年，伸展,   "
"    ""Hercules C.3P [C-130K] - 1988, Stretched"",","大力神 C.3P [C-130K] - 1988，拉伸,","    ""大力士C.3P C-130K-1988，拉伸"",","大力神C.3P?[C-130K]?-?1988，伸展,   "
"    ""Hercules C.3P [C-130K] - 1995, Stretched"",","大力神 C.3P [C-130K] - 1995，拉伸,","    ""赫拉克勒斯C.3P C-130K-1995，拉伸"",","大力神C.3P?[C-130K]?-?1995，拉伸,   "
"    ""Hercules C.4 [C-130J-30] - 2000"",","大力神 C.4 [C-130J-30] - 2000,","    ""大力神C.4 C-130J-30-2000"",","大力神C.4?[C-130J-30]?-?2000,   "
"    ""Hercules C.5 [C-130J] - 2000"",","大力神 C.5 [C-130J] - 2000,","    ""大力神C.5C-130J-2000"",","大力士C.5?[C-130J]?-?2000,   "
"    ""Hercules C.6 [C-130J-30] - 2015, Extended Range"",","大力神 C.6 [C-130J-30] - 2015，扩展范围,","    ""大力士C.6 C-130J-30-2015，扩展范围"",","大力神C.6?[C-130J-30]?-?2015，增程,   "
"    ""Hermes 450 UAV - 2008"",","爱马仕 450 无人机 - 2008,","    ""爱马仕450无人机-2008"",","Hermes?450无人机-?2008,   "
"    ""Hermes 450 UAV - 2010, 2x"",","Hermes 450 无人机 - 2010, 2x,","    ""爱马仕450无人机-2010，2架"",","Hermes?450无人机-?2010,2x,   "
"    ""Hermes 450 UAV - 2011"",","爱马仕 450 无人机 - 2011,","    ""爱马仕450无人机-2011"",","Hermes?450无人机-?2011,   "
"    ""Hermes 450 UAV - 2012, Few"",","爱马仕 450 无人机 - 2012，很少,","    ""爱马仕450无人机-2012，少数"",","Hermes?450无人机-?2012,Few,   "
"    ""Hermes 450 UAV - 2015"",","爱马仕 450 无人机 - 2015,","    ""爱马仕450无人机-2015"",","Hermes?450无人机-?2015,   "
"    ""Hermes 450 UAV - 2018"",","爱马仕 450 无人机 - 2018,","    ""爱马仕450无人机-2018"",","Hermes?450无人机-?2018,   "
"    ""Hermes 450 UAV - 2019, 4x"",","爱马仕 450 无人机 - 2019，4x,","    ""爱马仕450无人机-2019，4x"",","Hermes?450无人机-?2019,4x,   "
"    ""Hermes 450 UAV [Ziq] - 2000"",","爱马仕 450 无人机 [Ziq] - 2000,","    ""爱马仕450无人机Ziq-2000"",","Hermes?450无人机[Ziq]?-?2000,   "
"    ""Hermes 900 UAV - 2012"",","爱马仕 900 无人机 - 2012,","    ""爱马仕900无人机-2012"",","Hermes?900无人机-?2012,   "
"    ""Hermes 900 UAV - 2014, LOS Limited"",","Hermes 900 无人机 - 2014, LOS Limited,","    ""爱马仕900无人机-2014，洛杉矶有限公司"",","Hermes?900无人机-?2014,LOS有限公司,   "
"    ""Hermes 900 UAV - 2018, SATCOM"",","爱马仕 900 无人机 - 2018，卫星通信,","    ""Hermes 900无人机-2018，卫星通信"",","Hermes?900无人机-?2018,SATCOM,   "
"    ""Hermes 900 UAV - 2019, 9x"",","爱马仕 900 无人机 - 2019，9x,","    ""爱马仕900无人机-2019，9x"",","Hermes?900无人机-?2019,9x,   "
"    ""Hermes 900 UAV - 2021"",","爱马仕900无人机——2021,","    ""爱马仕900无人机- 2021"",","Hermes?900无人机-?2021,   "
"    ""Hermes 900 UAV [Star] - 2015"",","爱马仕900无人机[明星]- 2015,","    ""爱马仕900无人机之星-2015"",","Hermes?900无人机(Star)?-?2015,   "
"    ""Hermes RHWR (ARI.18241)"",","爱马仕 RHWR (ARI.18241),","    ""爱马仕RHWR（ARI.18241）"",","爱马仕RHWR?(ARI.18241),   "
"    ""Heron TP UAV - 2020"",","苍鹭TP无人机-2020,","    ""Heron TP无人机-2020"",","苍鹭TP无人机-?2020,   "
"    ""Heron TP UAV [Eitan] - 2009"",","Heron TP UAV [Eitan] - 2009,","    ""Heron TP无人机Eitan-2009"",","Heron?TP?UAV?[Eitan]?-?2009,   "
"    ""Heron TP UAV [Eitan] - 2012"",","Heron TP 无人机 [Eitan] - 2012,","    ""Heron TP无人机Eitan-2012"",","Heron?TP?UAV?[Eitan]?-?2012,   "
"    ""Heron TP [MPR]"",","苍鹭 TP [MPR],","    ""Heron TP MPR"",","鹭TP?(MPR),   "
"    ""Heron UAV - 2006"",","苍鹭无人机——2006,","    ""苍鹭无人机-2006"",","苍鹭无人机-?2006,   "
"    ""Heron UAV - 2010"",","苍鹭无人机——2010,","    ""苍鹭无人机-2010"",","苍鹭无人机-?2010,   "
"    ""Heron UAV [Shoval] - 2006"",","苍鹭无人机 [Shoval] - 2006,","    ""Heron无人机Shoval-2006"",","苍鹭无人机[Shoval]?-?2006,   "
"    ""Higgins - 1956"",","希金斯 - 1956,","    ""希金斯-1956"",","希金斯-?1956,   "
"    ""High Explosives "",","高炸药,","    ""烈性炸药"",","烈性炸药,   "
"    ""High Explosives [C-4] "",","高爆炸药[C-4],","    ""高能炸药C-4"",","高烈性炸药[C-4]?,   "
"    ""High Fix [SRD-5ND Kvant]"",","High Fix [SRD-5ND Kvant],","    ""高固定SRD-5ND Kvant"",","High?Fix?[SRD-5ND?Kvant],   "
"    ""High Lark 1 [Sapfir-23D-Sh]"",","高云雀 1 [Sapfir-23D-Sh],","    ""High Lark 1 Sapfir-23D-Sh"",","High?Lark?[Sapfir-23D-Sh],   "
"    ""High Lark 1 [Sapfir-23E]"",","高云雀 1 [Sapfir-23E],","    ""High Lark 1 Sapfir-23E"",","高空云雀[Sapfir-23E],   "
"    ""High Lark 2 [Moskit-23K] (MiG-23-98-2)"",","高云雀 2 [Moskit-23K] (MiG-23-98-2),","    ""High Lark 2 Moskit-23K（米格-23-98-2）"",","云雀2[蚊子-?23k](米格-23-98-2),   "
"    ""High Lark 2 [Sapfir-23MLA-2] (MiG-23MLD)"",","高云雀 2 [Sapfir-23MLA-2] (MiG-23MLD),","    ""High Lark 2 Sapfir-23MLA-2（米格-23MLD）"",","High?Lark?2?[Sapfir-23MLA-2]?(MiG-23MLD),   "
"    ""High Lark 2 [Sapfir-23ML]"",","High Lark 2 [Sapfir-23ML],","    ""High Lark 2 Sapfir-23ML"",","High?Lark?2?[Sapfir-23ML],   "
"    ""High Lark 2 [Sapfir-23PA] (MiG-23P Upgrade)"",","高云雀 2 [Sapfir-23PA]（MiG-23P 升级版）,","    ""High Lark 2 Sapfir-23PA（米格-23P升级版）"",","高空云雀2[萨菲尔-?23pa](米格-?23p升级),   "
"    ""High Lark 2 [Sapfir-23P]"",","高云雀 2 [Sapfir-23P],","    ""High Lark 2 Sapfir-23P"",","高云雀(Sapfir-23P),   "
"    ""High Lark 4 [RP-25MN Sapfir-25] (MiG-25)"",","高云雀 4 [RP-25MN Sapfir-25] (MiG-25),","    ""High Lark 4 RP-25MN Sapfir-25（米格-25）"",","High?Lark?4?[RP-25MN?Sapfir-25](米格-25),   "
"    ""High Lune (SA-N-2)"",","高月（SA-N-2）,","    ""高月亮（SA-N-2）"",","高弓形(SA-N-2),   "
"    ""High Screen A [9S19 Imbir] (Anti-MRBM, Cruise Missiles)"",","高屏A [9S19 Imbir]（反MRBM，巡航导弹）,","    ""高屏A 9S19 Imbir（反MRBM、巡航导弹）"",","高屏A?[9S19?Imbir](反mrbm，巡航导弹),   "
"    ""High Screen B [9S19M2 Imbir] (Anti-MRBM, Cruise Missiles)"",","高屏B [9S19M2 Imbir]（反MRBM，巡航导弹）,","    ""高屏幕B 9S19M2 Imbir（反MRBM、巡航导弹）"",","高屏B?[9S19M2?Imbir](反mrbm，巡航导弹),   "
"    ""High Sieve"",","高筛,","    ""高筛"",","高筛,   "
"    ""High Spy [RORSAT] (181-283km)"",","高间谍 [RORSAT] (181-283km),","    ""高空侦察卫星（181-283公里）"",","高级间谍[罗sat](181-283公里),   "
"    ""Himalayas [DECM] (PAK-FA)"",","喜马拉雅山 [DECM] (PAK-FA),","    ""喜马拉雅山脉DECM（PAK-FA）"",","喜马拉雅山脉DECM(战斗机),   "
"    ""Himalayas [RWR]"",","喜马拉雅山 [RWR],","    ""喜马拉雅山脉RWR"",","喜马拉雅山脉(RWR),   "
"    ""Hispano Aviación HA-1112 - 1944, (Messerschmitt Bf 109G-20)"",","Hispano Aviación HA-1112 - 1944, (Messerschmitt Bf 109G-20),","    ""西班牙航空公司HA-1112-1944（Messerschmitt Bf 109G-20）"",","Hispano?Aviación?HA-1112?-?1944，?(Messerschmitt?Bf?109G-20),   "
"    ""Hkp 10A [SA.332M1 Super Puma] - 1988, 10x + 2x, some upgraded to newer versions"",","Hkp 10A [SA.332M1 Super Puma] - 1988, 10x + 2x, 一些升级到新版本,","    ""香港邮政10A SA。332M1超级美洲豹-1988，10倍+2倍，部分升级至更新版本"",","10?Hkp?(SA.332M1超级美洲狮]-?1988年，10x?+?2x，一些升级到较新的版本,   "
"    ""Hkp 10B [SA.332M1 Super Puma] - 2000, 3x, Upgraded from Hkp 10A"",","Hkp 10B [SA.332M1 Super Puma] - 2000, 3x, 从 Hkp 10A 升级,","    ""香港邮政10B股份有限公司。332M1超级美洲豹-2000，3倍，由HKP10A升级"",","Hkp?10?b?(SA.332M1超级美洲狮]-?2000,3x，由Hkp?10A升级而来,   "
"    ""Hkp 10D [SA.332M1 Super Puma] - 2000, 2x, Upgraded from Hkp 10A, Training version of Hkp 10B"",","Hkp 10D [SA.332M1 Super Puma] - 2000, 2x, Hkp 10A 升级版, Hkp 10B 训练版,","    ""香港邮政10D股份有限公司。332M1超级美洲豹-2000，2x，从HKP10A升级，HKP10B的培训版"",","Hkp?10?d?(SA).332M1超级美洲狮]-?2000,2匹，由Hkp?10A升级而来，Hkp?10B训练版,   "
"    ""Hkp 15A [AW-109LUH] - 2006, 12x, Land"",","Hkp 15A [AW-109LUH] - 2006, 12x, Land,","    ""香港邮政15A AW-109LUH-2006，12x，土地"",","Hkp?15A?[AW-109LUH]?-?2006,?12x，土地,   "
"    ""Hkp 15B [AW-109LUH] - 2008, 8x, Naval"",","Hkp 15B [AW-109LUH] - 2008，8x，海军,","    ""Hkp 15B AW-109LUH-2008，8x，海军"",","Hkp?15B?[AW-109LUH]?-?2008,?8x，海军,   "
"    ""Hkp 16 Blackhawk [UH-60M] - 2012, 15x"",","Hkp 16 黑鹰 [UH-60M] - 2012，15x,","    ""Hkp 16黑鹰UH-60M-2012，15倍"",","Hkp?16黑鹰[UH-60M]?-?2012,?15x,   "
"    ""Hkp 2 Alouette II [SE.3130] - 1960, 11x"",","Hkp 2 Alouette II [SE.3130] - 1960, 11x,","    ""Hkp 2阿卢埃特II东南部。3130-1960，11倍"",","Hkp?2?Alouette?II?[SE.3130]?-?1960,?11x,   "
"    ""Hkp 2 Alouette II [SE.3130] - 1960, 13"",","Hkp 2 Alouette II [SE.3130] - 1960, 13,","    ""Hkp 2阿卢埃特II东南部。3130 - 1960, 13"",","Hkp?2?Alouette?II?[SE.3130]?-?1960年，13,   "
"    ""Hkp 3A Huey - 1962"",","Hkp 3A Huey - 1962,","    ""香港邮政3A休伊-1962"",","hkp3a?Huey?-?1962,   "
"    ""Hkp 3B [UH-1B Huey, Bell 204B] - 1970, 9x"",","Hkp 3B [UH-1B Huey, Bell 204B] - 1970, 9x,","    ""Hkp 3B UH-1B休伊，贝尔204B-1970，9x"",","Hkp?3B?[UH-1B?Huey,?Bell?204B]?-?1970,?9x,   "
"    ""Hkp 3C [UH-1B Huey, Bell 204B] - 1970, 15x"",","Hkp 3C [UH-1B Huey, Bell 204B] - 1970, 15x,","    ""Hkp 3C UH-1B休伊，贝尔204B-1970，15x"",","Hkp?3C?[UH-1B?Huey,?Bell?204B]?-?1970,?15x,   "
"    ""Hkp 4A [Sea Knight] - 1964, Transport"",","Hkp 4A [海骑士] - 1964，运输,","    ""Hkp 4A海上骑士-1964，运输"",","Hkp?4A[海上骑士]-?1964年，运输部,   "
"    ""Hkp 4B/C [Sea Knight] - 1973, 2x+8x, ASW, Armament Unknown"",","Hkp 4B/C [海骑士] - 1973, 2x+8x, ASW, Armament Unknown,","    ""Hkp 4B/C海上骑士-1973，2x+8x，反潜，武器未知"",","Hkp?4B/C[海上骑士]-?1973,2?+8x,?ASW，未知武器,   "
"    ""Hkp 4B/C [Sea Knight] - 1984, 2x+8x, ASW"",","Hkp 4B/C [海骑士] - 1984, 2x+8x, ASW,","    ""Hkp 4B/C海上骑士-1984，2x+8x，ASW"",","Hkp?4B/C[海上骑士]-?1984,2?+8x,?ASW,   "
"    ""Hkp 4B/C [Sea Knight] - 1990, 2x+8x, ASW"",","Hkp 4B/C [海骑士] - 1990, 2x+8x, ASW,","    ""Hkp 4B/C海上骑士-1990，2x+8x，ASW"",","Hkp?4B/C[海上骑士]-?1990,2?+8x,?ASW,   "
"    ""Hkp 4B/C [Sea Knight] - 1999, 2x+8x+4x, ASW"",","Hkp 4B/C [海骑士] - 1999, 2x+8x+4x, ASW,","    ""Hkp 4B/C海上骑士-1999，2x+8x+4x，ASW"",","Hkp?4B/C[海骑士]-?1999,2x+8x+4x,?ASW,   "
"    ""Hkp 4B/C [Sea Knight] - 2005, 2x+8x+4x, ASW"",","Hkp 4B/C [海骑士] - 2005, 2x+8x+4x, ASW,","    ""Hkp 4B/C海上骑士-2005，2x+8x+4x，ASW"",","Hkp?4B/C[海骑士]-?2005,2?+8x+4x,?ASW,   "
"    ""Hkp 4D [Sea Knight] - 1992, 4x, SAR, Converted HKP-4A"",","Hkp 4D [海骑士] - 1992, 4x, SAR, 改装 HKP-4A,","    ""Hkp 4D海上骑士-1992，4x，特区，改装Hkp-4A"",","Hkp?4D[海骑士]-?1992,4x,?SAR，改装Hkp?-?4a,   "
